VER,EXP,EAST,XGEO,RISK,event_horizon_distance
400,1000,1000,5000,55,45.97
400,1000,1000,5000,60,49.01
400,1000,1000,5000,65,49.69
400,1000,1000,5000,70,50.5
400,1000,1000,5000,75,60.19
400,1000,1000,5000,80,60.6
400,1000,1000,9000,15,12.29
400,1000,1000,9000,20,21.38
400,1000,1000,9000,25,23.85
400,1000,1000,9000,30,23.4
400,1000,1000,9000,35,27.24
400,1000,1000,9000,40,31.98
400,1000,1000,9000,45,35.67
400,1000,1000,9000,50,38.36
400,1000,1000,9000,55,40.42
400,1000,1000,9000,60,47.1
400,1000,1000,9000,65,56.05
400,1000,1000,9000,70,57.17
400,1000,1000,9000,75,63.18
400,1000,1000,9000,80,64.06
400,1000,1000,13000,15,12.76
400,1000,1000,13000,20,18.98
400,1000,1000,13000,25,17.25
400,1000,1000,13000,30,23.87
400,1000,1000,13000,35,29.05
400,1000,1000,13000,40,34.3
400,1000,1000,13000,45,38.8
400,1000,1000,13000,50,40.65
400,1000,1000,13000,55,44.17
400,1000,1000,13000,60,45.64
400,1000,1000,13000,65,51.98
400,1000,1000,13000,70,60.01
400,1000,1000,13000,75,62.71
400,1000,1000,13000,80,60.2
400,1000,1000,17000,15,11.2
400,1000,1000,17000,20,19.25
400,1000,1000,17000,25,24.18
400,1000,1000,17000,30,24.95
400,1000,1000,17000,35,33.53
400,1000,1000,17000,40,36.61
400,1000,1000,17000,45,39.58
400,1000,1000,17000,50,38.85
400,1000,1000,17000,55,42.34
400,1000,1000,17000,60,44.34
400,1000,1000,17000,65,50.3
400,1000,1000,17000,70,56.35
400,1000,1000,17000,75,63.85
400,1000,1000,17000,80,59.83
400,1000,5000,1000,15,12.89
400,1000,5000,1000,20,18.8
400,1000,5000,1000,25,18.19
400,1000,5000,1000,30,26.96
400,1000,5000,1000,35,28.69
400,1000,5000,1000,40,29.94
400,1000,5000,1000,45,37.81
400,1000,5000,1000,50,35.06
400,1000,5000,1000,55,46.26
400,1000,5000,1000,60,50.2
400,1000,5000,1000,65,47.32
400,1000,5000,1000,70,54.25
400,1000,5000,1000,75,55.51
400,1000,5000,1000,80,67.08
400,1000,5000,5000,15,14.53
400,1000,5000,5000,20,13.6
400,1000,5000,5000,25,19.34
400,1000,5000,5000,30,29.08
400,1000,5000,5000,35,28.91
400,1000,5000,5000,40,36.11
400,1000,5000,5000,45,38.53
400,1000,5000,5000,50,45.48
400,1000,5000,5000,55,45.3
400,1000,5000,5000,60,52.6
400,1000,5000,5000,65,55.76
400,1000,5000,5000,70,56.73
400,1000,5000,5000,75,61.54
400,1000,5000,5000,80,63.15
400,1000,5000,9000,15,18.26
400,1000,5000,9000,20,19.18
400,1000,5000,9000,25,26.42
400,1000,5000,9000,30,28.64
400,1000,5000,9000,35,29.7
400,1000,5000,9000,40,31.29
400,1000,5000,9000,45,34.92
400,1000,5000,9000,50,42.58
400,1000,5000,9000,55,47.61
400,1000,5000,9000,60,48.91
400,1000,5000,9000,65,53.72
400,1000,5000,9000,70,53.95
400,1000,5000,9000,75,55.72
400,1000,5000,9000,80,61.56
400,1000,5000,13000,15,13.27
400,1000,5000,13000,20,17.5
400,1000,5000,13000,25,23.45
400,1000,5000,13000,30,23.18
400,1000,5000,13000,35,27.86
400,1000,5000,13000,40,36.24
400,1000,5000,13000,45,40.11
400,1000,5000,13000,50,37.44
400,1000,5000,13000,55,44.63
400,1000,5000,13000,60,49.73
400,1000,5000,13000,65,52.21
400,1000,5000,13000,70,53.87
400,1000,5000,13000,75,59.75
400,1000,5000,13000,80,68.35
400,1000,5000,17000,15,16.99
400,1000,5000,17000,20,21.86
400,1000,5000,17000,25,27.22
400,1000,5000,17000,30,30.06
400,1000,5000,17000,35,29.95
400,1000,5000,17000,40,29.96
400,1000,5000,17000,45,37.17
400,1000,5000,17000,50,44.93
400,1000,5000,17000,55,49.68
400,1000,5000,17000,60,54.43
400,1000,5000,17000,65,52.84
400,1000,5000,17000,70,59.88
400,1000,5000,17000,75,61.61
400,1000,5000,17000,80,65.93
400,1000,9000,1000,15,11.76
400,1000,9000,1000,20,15.49
400,1000,9000,1000,25,21.41
400,1000,9000,1000,30,21.09
400,1000,9000,1000,35,27.91
400,1000,9000,1000,40,35.09
400,1000,9000,1000,45,36.09
400,1000,9000,1000,50,37.45
400,1000,9000,1000,55,44.22
400,1000,9000,1000,60,44.58
400,1000,9000,1000,65,53.27
400,1000,9000,1000,70,51.07
400,1000,9000,1000,75,58.49
400,1000,9000,1000,80,63.94
400,1000,9000,5000,15,10.42
400,1000,9000,5000,20,20.33
400,1000,9000,5000,25,19.01
400,1000,9000,5000,30,26.02
400,1000,9000,5000,35,25.65
400,1000,9000,5000,40,32.69
400,1000,9000,5000,45,34.77
400,1000,9000,5000,50,39.67
400,1000,9000,5000,55,47.76
400,1000,9000,5000,60,47.69
400,1000,9000,5000,65,55.17
400,1000,9000,5000,70,59.72
400,1000,9000,5000,75,57.67
400,1000,9000,5000,80,59.72
400,1000,9000,9000,15,10.94
400,1000,9000,9000,20,19.89
400,1000,9000,9000,25,28.25
400,1000,9000,9000,30,25.5
400,1000,9000,9000,35,32.25
400,1000,9000,9000,40,37.31
400,1000,9000,9000,45,39.77
400,1000,9000,9000,50,44.54
400,1000,9000,9000,55,50.25
400,1000,9000,9000,60,46.49
400,1000,9000,9000,65,48.45
400,1000,9000,9000,70,53.52
400,1000,9000,9000,75,57.01
400,1000,9000,9000,80,66.19
400,1000,9000,13000,15,16.99
400,1000,9000,13000,20,17.28
400,1000,9000,13000,25,25.84
400,1000,9000,13000,30,30.27
400,1000,9000,13000,35,28.03
400,1000,9000,13000,40,36.17
400,1000,9000,13000,45,41.33
400,1000,9000,13000,50,38.75
400,1000,9000,13000,55,49.54
400,1000,9000,13000,60,54.75
400,1000,9000,13000,65,49.93
400,1000,9000,13000,70,52.86
400,1000,9000,13000,75,59.47
400,1000,9000,13000,80,66.87
400,1000,9000,17000,15,21.53
400,1000,9000,17000,20,19.67
400,1000,9000,17000,25,26.6
400,1000,9000,17000,30,23.96
400,1000,9000,17000,35,33.86
400,1000,9000,17000,40,36.97
400,1000,9000,17000,45,35.47
400,1000,9000,17000,50,45.92
400,1000,9000,17000,55,50.45
400,1000,9000,17000,60,51.7
400,1000,9000,17000,65,50.66
400,1000,9000,17000,70,63.04
400,1000,9000,17000,75,64.78
400,1000,9000,17000,80,64.17
400,1000,13000,1000,15,14.63
400,1000,13000,1000,20,17.81
400,1000,13000,1000,25,22.91
400,1000,13000,1000,30,25.01
400,1000,13000,1000,35,33.85
400,1000,13000,1000,40,37.32
400,1000,13000,1000,45,33.91
400,1000,13000,1000,50,46.21
400,1000,13000,1000,55,46.71
400,1000,13000,1000,60,52.39
400,1000,13000,1000,65,54.92
400,1000,13000,1000,70,55.95
400,1000,13000,1000,75,62.69
400,1000,13000,1000,80,68.75
400,1000,13000,5000,15,13.65
400,1000,13000,5000,20,22.78
400,1000,13000,5000,25,23.83
400,1000,13000,5000,30,27.03
400,1000,13000,5000,35,30.31
400,1000,13000,5000,40,37.01
400,1000,13000,5000,45,36.13
400,1000,13000,5000,50,45.72
400,1000,13000,5000,55,49.26
400,1000,13000,5000,60,45.57
400,1000,13000,5000,65,57.27
400,1000,13000,5000,70,54.64
400,1000,13000,5000,75,60.6
400,1000,13000,5000,80,65.8
400,1000,13000,9000,15,15.34
400,1000,13000,9000,20,15.59
400,1000,13000,9000,25,27.56
400,1000,13000,9000,30,24.62
400,1000,13000,9000,35,28.67
400,1000,13000,9000,40,38.28
400,1000,13000,9000,45,37.45
400,1000,13000,9000,50,46.6
400,1000,13000,9000,55,48.56
400,1000,13000,9000,60,48.06
400,1000,13000,9000,65,49.15
400,1000,13000,9000,70,62.28
400,1000,13000,9000,75,57.41
400,1000,13000,9000,80,67.5
400,1000,13000,13000,15,17.04
400,1000,13000,13000,20,23.48
400,1000,13000,13000,25,26.56
400,1000,13000,13000,30,29.86
400,1000,13000,13000,35,32.06
400,1000,13000,13000,40,38.83
400,1000,13000,13000,45,35.58
400,1000,13000,13000,50,40.62
400,1000,13000,13000,55,49.07
400,1000,13000,13000,60,48.96
400,1000,13000,13000,65,55.47
400,1000,13000,13000,70,58.13
400,1000,13000,13000,75,62.46
400,1000,13000,13000,80,65.16
400,1000,13000,17000,15,20.21
400,1000,13000,17000,20,19.81
400,1000,13000,17000,25,27.28
400,1000,13000,17000,30,26.71
400,1000,13000,17000,35,30.26
400,1000,13000,17000,40,32.71
400,1000,13000,17000,45,37.18
400,1000,13000,17000,50,40.2
400,1000,13000,17000,55,48.11
400,1000,13000,17000,60,54.12
400,1000,13000,17000,65,52.1
400,1000,13000,17000,70,56.16
400,1000,13000,17000,75,62.59
400,1000,13000,17000,80,68.75
400,1000,17000,1000,15,20.92
400,1000,17000,1000,20,20.15
400,1000,17000,1000,25,21.48
400,1000,17000,1000,30,23.41
400,1000,17000,1000,35,28.09
400,1000,17000,1000,40,32.17
400,1000,17000,1000,45,35.44
400,1000,17000,1000,50,37.54
400,1000,17000,1000,55,46.49
400,1000,17000,1000,60,47.64
400,1000,17000,1000,65,58.39
400,1000,17000,1000,70,57.93
400,1000,17000,1000,75,63.12
400,1000,17000,1000,80,61.16
400,1000,17000,5000,15,20.43
400,1000,17000,5000,20,20.41
400,1000,17000,5000,25,27.98
400,1000,17000,5000,30,28.74
400,1000,17000,5000,35,31.44
400,1000,17000,5000,40,34.9
400,1000,17000,5000,45,36.09
400,1000,17000,5000,50,38.51
400,1000,17000,5000,55,51.16
400,1000,17000,5000,60,50.28
400,1000,17000,5000,65,57.47
400,1000,17000,5000,70,57.01
400,1000,17000,5000,75,57.49
400,1000,17000,5000,80,66.79
400,1000,17000,9000,15,12.89
400,1000,17000,9000,20,17.59
400,1000,17000,9000,25,25.48
400,1000,17000,9000,30,26.64
400,1000,17000,9000,35,37.29
400,1000,17000,9000,40,32.28
400,1000,17000,9000,45,42.49
400,1000,17000,9000,50,44.66
400,1000,17000,9000,55,50.26
400,1000,17000,9000,60,48.36
400,1000,17000,9000,65,55.08
400,1000,17000,9000,70,58.11
400,1000,17000,9000,75,61.78
400,1000,17000,9000,80,69.7
400,1000,17000,13000,15,22.85
400,1000,17000,13000,20,19.75
400,1000,17000,13000,25,26.66
400,1000,17000,13000,30,30.3
400,1000,17000,13000,35,35.35
400,1000,17000,13000,40,41.18
400,1000,17000,13000,45,37.53
400,1000,17000,13000,50,41.31
400,1000,17000,13000,55,49.55
400,1000,17000,13000,60,48.27
400,1000,17000,13000,65,52.19
400,1000,17000,13000,70,54.95
400,1000,17000,13000,75,57.98
400,1000,17000,13000,80,66.21
400,1000,17000,17000,15,19.49
400,1000,17000,17000,20,20.21
400,1000,17000,17000,25,23.36
400,1000,17000,17000,30,31.87
400,1000,17000,17000,35,35.58
400,1000,17000,17000,40,36.84
400,1000,17000,17000,45,42.92
400,1000,17000,17000,50,49.04
400,1000,17000,17000,55,51.43
400,1000,17000,17000,60,53.55
400,1000,17000,17000,65,57.66
400,1000,17000,17000,70,64.14
400,1000,17000,17000,75,62.8
400,1000,17000,17000,80,67.75
400,2000,1000,1000,15,14.78
400,2000,1000,1000,20,21.13
400,2000,1000,1000,25,24.07
400,2000,1000,1000,30,20.26
400,2000,1000,1000,35,24.96
400,2000,1000,1000,40,30.13
400,2000,1000,1000,45,38.29
400,2000,1000,1000,50,40.24
400,2000,1000,1000,55,41.19
400,2000,1000,1000,60,43.29
400,2000,1000,1000,65,52.69
400,2000,1000,1000,70,56.55
400,2000,1000,1000,75,62.73
400,2000,1000,1000,80,62.05
400,2000,1000,5000,15,13.84
400,2000,1000,5000,20,13.45
400,2000,1000,5000,25,16.8
400,2000,1000,5000,30,24.47
400,2000,1000,5000,35,27.12
400,2000,1000,5000,40,30.15
400,2000,1000,5000,45,32.31
400,2000,1000,5000,50,44.77
400,2000,1000,5000,55,47.26
400,2000,1000,5000,60,48.4
400,2000,1000,5000,65,55.91
400,2000,1000,5000,70,60.15
400,2000,1000,5000,75,60.62
400,2000,1000,5000,80,60.35
400,2000,1000,9000,15,9.9
400,2000,1000,9000,20,20.81
400,2000,1000,9000,25,21.71
400,2000,1000,9000,30,27.27
400,2000,1000,9000,35,33.66
400,2000,1000,9000,40,30.06
400,2000,1000,9000,45,37.85
400,2000,1000,9000,50,42.1
400,2000,1000,9000,55,44.42
400,2000,1000,9000,60,44.16
400,2000,1000,9000,65,50.48
400,2000,1000,9000,70,54.08
400,2000,1000,9000,75,61.2
400,2000,1000,9000,80,66.83
400,2000,1000,13000,15,13.4
400,2000,1000,13000,20,20.79
400,2000,1000,13000,25,20.48
400,2000,1000,13000,30,30.8
400,2000,1000,13000,35,33.24
400,2000,1000,13000,40,34.35
400,2000,1000,13000,45,37.15
400,2000,1000,13000,50,39.5
400,2000,1000,13000,55,43.33
400,2000,1000,13000,60,53.55
400,2000,1000,13000,65,51.64
400,2000,1000,13000,70,56.5
400,2000,1000,13000,75,64.98
400,2000,1000,13000,80,65.43
400,2000,1000,17000,15,16.13
400,2000,1000,17000,20,18.58
400,2000,1000,17000,25,20.08
400,2000,1000,17000,30,25.57
400,2000,1000,17000,35,33.26
400,2000,1000,17000,40,35.7
400,2000,1000,17000,45,40.8
400,2000,1000,17000,50,38.99
400,2000,1000,17000,55,46.19
400,2000,1000,17000,60,53.73
400,2000,1000,17000,65,52.58
400,2000,1000,17000,70,58.93
400,2000,1000,17000,75,56.91
400,2000,1000,17000,80,69.18
400,2000,5000,1000,15,15.19
400,2000,5000,1000,20,15.24
400,2000,5000,1000,25,18.18
400,2000,5000,1000,30,25.86
400,2000,5000,1000,35,29.62
400,2000,5000,1000,40,28.78
400,2000,5000,1000,45,41.52
400,2000,5000,1000,50,44.48
400,2000,5000,1000,55,43.71
400,2000,5000,1000,60,44.02
400,2000,5000,1000,65,54.92
400,2000,5000,1000,70,55.33
400,2000,5000,1000,75,61.27
400,2000,5000,1000,80,62.94
400,2000,5000,5000,15,12.43
400,2000,5000,5000,20,21.8
400,2000,5000,5000,25,27.0
400,2000,5000,5000,30,23.39
400,2000,5000,5000,35,30.21
400,2000,5000,5000,40,32.29
400,2000,5000,5000,45,41.42
400,2000,5000,5000,50,41.03
400,2000,5000,5000,55,48.49
400,2000,5000,5000,60,52.09
400,2000,5000,5000,65,49.96
400,2000,5000,5000,70,58.85
400,2000,5000,5000,75,58.85
400,2000,5000,5000,80,67.79
400,2000,5000,9000,15,15.38
400,2000,5000,9000,20,22.26
400,2000,5000,9000,25,20.63
400,2000,5000,9000,30,24.54
400,2000,5000,9000,35,31.17
400,2000,5000,9000,40,39.04
400,2000,5000,9000,45,37.7
400,2000,5000,9000,50,38.04
400,2000,5000,9000,55,45.69
400,2000,5000,9000,60,47.5
400,2000,5000,9000,65,53.32
400,2000,5000,9000,70,56.98
400,2000,5000,9000,75,59.85
400,2000,5000,9000,80,62.27
400,2000,5000,13000,15,12.79
400,2000,5000,13000,20,21.62
400,2000,5000,13000,25,24.12
400,2000,5000,13000,30,24.49
400,2000,5000,13000,35,33.66
400,2000,5000,13000,40,30.09
400,2000,5000,13000,45,40.85
400,2000,5000,13000,50,44.2
400,2000,5000,13000,55,49.01
400,2000,5000,13000,60,48.51
400,2000,5000,13000,65,55.04
400,2000,5000,13000,70,60.36
400,2000,5000,13000,75,65.71
400,2000,5000,13000,80,64.6
400,2000,5000,17000,15,11.87
400,2000,5000,17000,20,20.27
400,2000,5000,17000,25,24.9
400,2000,5000,17000,30,31.45
400,2000,5000,17000,35,35.24
400,2000,5000,17000,40,34.65
400,2000,5000,17000,45,39.26
400,2000,5000,17000,50,42.32
400,2000,5000,17000,55,48.72
400,2000,5000,17000,60,49.35
400,2000,5000,17000,65,55.55
400,2000,5000,17000,70,54.29
400,2000,5000,17000,75,61.19
400,2000,5000,17000,80,69.94
