VER,EXP,EAST,XGEO,RISK,event_horizon_distance,predicted_event_horizon_distance
400,0,5000,9000,45,34.77,6.519515038
400,0,5000,9000,50,42.26,6.220509529
400,0,5000,9000,55,40.72,5.637676716
400,0,5000,9000,60,47.7,4.657017231
400,0,5000,9000,65,51.64,4.463457584
400,0,5000,9000,70,60.39,3.844425678
400,0,5000,9000,75,63.36,3.194850922
400,0,5000,9000,80,60.98,2.644197941
400,0,5000,13000,15,15.21,9.231051445
400,0,5000,13000,20,15.74,8.506581306
400,0,5000,13000,25,26.83,8.054411888
400,0,5000,13000,30,30.16,7.621585369
400,0,5000,13000,35,28.18,7.328483105
400,0,5000,13000,40,35.34,7.178112984
400,0,5000,13000,45,38.79,6.626743793
400,0,5000,13000,50,37.98,6.320232868
400,0,5000,13000,55,47.83,5.626992226
400,0,5000,13000,60,49.34,4.657598972
400,0,5000,13000,65,55.49,4.369954586
400,0,5000,13000,70,56.75,3.876881123
400,0,5000,13000,75,55.21,3.249939919
400,0,5000,13000,80,62.19,2.497836351
400,0,5000,17000,15,10.99,9.200714111
400,0,5000,17000,20,23.84,8.524116516
400,0,5000,17000,25,27.09,8.057492256
400,0,5000,17000,30,30.37,7.63607645
400,0,5000,17000,35,28.88,7.339274406
400,0,5000,17000,40,30.13,7.167041302
400,0,5000,17000,45,42.08,6.602687836
400,0,5000,17000,50,46.52,6.315991402
400,0,5000,17000,55,41.66,5.629925728
400,0,5000,17000,60,49.41,4.656875134
400,0,5000,17000,65,48.99,4.370594025
400,0,5000,17000,70,59.66,3.856524706
400,0,5000,17000,75,63.46,3.261060238
400,0,5000,17000,80,60.83,2.487717152
400,0,9000,1000,15,13.95,6.201477051
400,0,9000,1000,20,18.45,5.257658005
400,0,9000,1000,25,19.35,4.675254822
400,0,9000,1000,30,29.17,4.307751656
400,0,9000,1000,35,28.43,3.564146519
400,0,9000,1000,40,30.07,3.087402821
400,0,9000,1000,45,37.09,2.479424
400,0,9000,1000,50,42.75,1.903865457
400,0,9000,1000,55,41.21,1.609131575
400,0,9000,1000,60,46.07,1.419897676
400,0,9000,1000,65,56.65,1.352544546
400,0,9000,1000,70,56.95,0.976395965
400,0,9000,1000,75,58.58,1.09220314
400,0,9000,1000,80,63.13,0.707293153
400,0,9000,5000,15,11.01,8.969098091
400,0,9000,5000,20,15.8,8.242645264
400,0,9000,5000,25,20.68,7.847093105
400,0,9000,5000,30,26.93,7.393676281
400,0,9000,5000,35,27.1,7.114602566
400,0,9000,5000,40,30.75,6.914152622
400,0,9000,5000,45,33.01,6.338537693
400,0,9000,5000,50,42.36,6.151775837
400,0,9000,5000,55,42.09,5.579267025
400,0,9000,5000,60,52.6,4.50840044
400,0,9000,5000,65,55.9,4.274065495
400,0,9000,5000,70,51.76,3.661268711
400,0,9000,5000,75,57.18,2.999823809
400,0,9000,5000,80,65.24,2.648218632
400,0,9000,9000,15,12.54,9.068892479
400,0,9000,9000,20,15.47,8.253248215
400,0,9000,9000,25,27.26,7.878760815
400,0,9000,9000,30,27.36,7.432294369
400,0,9000,9000,35,30.13,7.149267673
400,0,9000,9000,40,37,7.024604321
400,0,9000,9000,45,40.97,6.481072903
400,0,9000,9000,50,38.55,6.19892931
400,0,9000,9000,55,41.37,5.648288727
400,0,9000,9000,60,48.46,4.667078495
400,0,9000,9000,65,52.14,4.484130383
400,0,9000,9000,70,56.32,3.900417805
400,0,9000,9000,75,62.69,3.293252468
400,0,9000,9000,80,65.88,2.729995012
400,0,9000,13000,15,20.84,9.064211845
400,0,9000,13000,20,15.73,8.333521843
400,0,9000,13000,25,22.53,7.892300129
400,0,9000,13000,30,25.64,7.463264942
400,0,9000,13000,35,34.62,7.164698124
400,0,9000,13000,40,32.24,6.984146118
400,0,9000,13000,45,35.4,6.490106106
400,0,9000,13000,50,41.74,6.172657013
400,0,9000,13000,55,45.22,5.535912991
400,0,9000,13000,60,47.54,4.543471813
400,0,9000,13000,65,51,4.286323071
400,0,9000,13000,70,61.48,3.830856562
400,0,9000,13000,75,60.43,3.296431541
400,0,9000,13000,80,68.36,2.650232077
400,0,9000,17000,15,17.1,9.038471222
400,0,9000,17000,20,15.86,8.349283218
400,0,9000,17000,25,29.09,7.893608093
400,0,9000,17000,30,31.21,7.476695538
400,0,9000,17000,35,36.29,7.171961784
400,0,9000,17000,40,39.61,6.976342678
400,0,9000,17000,45,42.59,6.469924927
400,0,9000,17000,50,39.51,6.172253132
400,0,9000,17000,55,46.46,5.538200855
400,0,9000,17000,60,47.49,4.543687344
400,0,9000,17000,65,53.11,4.288146019
400,0,9000,17000,70,53.44,3.811598539
400,0,9000,17000,75,60.39,3.308325768
400,0,9000,17000,80,70.2,2.636392117
400,0,13000,1000,15,12.65,6.286594868
400,0,13000,1000,20,21.59,5.33589983
400,0,13000,1000,25,22.05,4.736294746
400,0,13000,1000,30,25.48,4.333091736
400,0,13000,1000,35,34.57,3.527256727
400,0,13000,1000,40,38.7,3.07020402
400,0,13000,1000,45,38.06,2.483091593
400,0,13000,1000,50,43.43,1.95580411
400,0,13000,1000,55,41.55,1.654083371
400,0,13000,1000,60,46.72,1.49623847
400,0,13000,1000,65,57.19,1.377594233
400,0,13000,1000,70,57.04,0.99617964
400,0,13000,1000,75,60.42,1.139625549
400,0,13000,1000,80,66.23,0.815512419
400,0,13000,5000,15,11.17,9.014801025
400,0,13000,5000,20,20.19,8.310077667
400,0,13000,5000,25,23.13,7.90572834
400,0,13000,5000,30,30.38,7.433119297
400,0,13000,5000,35,27.17,7.083508015
400,0,13000,5000,40,38.96,6.91591835
400,0,13000,5000,45,33.9,6.347634792
400,0,13000,5000,50,38.71,6.196154594
400,0,13000,5000,55,46.55,5.635555267
400,0,13000,5000,60,51.1,4.594172001
400,0,13000,5000,65,50.45,4.295037746
400,0,13000,5000,70,53.05,3.67129755
400,0,13000,5000,75,64.5,3.056224823
400,0,13000,5000,80,61.81,2.765946627
400,0,13000,9000,15,17.15,9.113739014
400,0,13000,9000,20,21.14,8.334887505
400,0,13000,9000,25,22.89,7.943061829
400,0,13000,9000,30,28.29,7.476326466
400,0,13000,9000,35,31.43,7.125563145
400,0,13000,9000,40,39.3,7.035651207
400,0,13000,9000,45,35.74,6.494096279
400,0,13000,9000,50,44.61,6.25188446
400,0,13000,9000,55,43.59,5.715794086
400,0,13000,9000,60,48.91,4.7670331
400,0,13000,9000,65,55.42,4.51717329
400,0,13000,9000,70,55.45,3.920070171
400,0,13000,9000,75,59.36,3.358009338
400,0,13000,9000,80,67.47,2.862088919
400,0,13000,13000,15,12.53,9.130761147
400,0,13000,13000,20,20.13,8.402059555
400,0,13000,13000,25,29.28,7.950788021
400,0,13000,13000,30,33.01,7.576087475
400,0,13000,13000,35,27.53,7.195963383
400,0,13000,13000,40,32.68,7.042253971
400,0,13000,13000,45,36.95,6.575400829
400,0,13000,13000,50,47.38,6.213895798
400,0,13000,13000,55,50.61,5.614055157
400,0,13000,13000,60,54.34,4.613740921
400,0,13000,13000,65,53,4.294424534
400,0,13000,13000,70,54.63,3.812250614
400,0,13000,13000,75,65.14,3.289336443
400,0,13000,13000,80,67.59,2.753429651
400,0,13000,17000,15,18.52,9.067949295
400,0,13000,17000,20,26.02,8.423283577
400,0,13000,17000,25,26.44,7.966869354
400,0,13000,17000,30,23.73,7.59809351
400,0,13000,17000,35,35.57,7.192637444
400,0,13000,17000,40,34.14,7.03021431
400,0,13000,17000,45,41.53,6.556282043
400,0,13000,17000,50,48.04,6.21356535
400,0,13000,17000,55,43.74,5.620043755
400,0,13000,17000,60,47.3,4.617756367
400,0,13000,17000,65,50.97,4.291417599
400,0,13000,17000,70,59.18,3.794610739
400,0,13000,17000,75,60.12,3.296495914
400,0,13000,17000,80,67.2,2.74858284
400,0,17000,1000,15,17.98,6.329198837
400,0,17000,1000,20,16.59,5.350709438
400,0,17000,1000,25,24.64,4.728300095
400,0,17000,1000,30,24.69,4.329401016
400,0,17000,1000,35,30.69,3.550362349
400,0,17000,1000,40,38.6,3.077409029
400,0,17000,1000,45,41.76,2.501579523
400,0,17000,1000,50,37.97,1.967216969
400,0,17000,1000,55,45.04,1.664587855
400,0,17000,1000,60,47.32,1.4956249
400,0,17000,1000,65,48.34,1.392696857
400,0,17000,1000,70,59.76,0.992831588
400,0,17000,1000,75,62.17,1.147173762
400,0,17000,1000,80,62.17,0.830484033
400,0,17000,5000,15,18.81,9.051298141
400,0,17000,5000,20,20.67,8.325864792
400,0,17000,5000,25,23.18,7.90271616
400,0,17000,5000,30,22.75,7.423300266
400,0,17000,5000,35,27.15,7.073010445
400,0,17000,5000,40,38.98,6.910087109
400,0,17000,5000,45,42.94,6.367329121
400,0,17000,5000,50,43.11,6.215394497
400,0,17000,5000,55,49.75,5.654328346
400,0,17000,5000,60,50.98,4.594456196
400,0,17000,5000,65,50.38,4.298180103
400,0,17000,5000,70,53.92,3.657625914
400,0,17000,5000,75,59.48,3.063332796
400,0,17000,5000,80,69.14,2.797199011
400,0,17000,9000,15,19.96,9.150253296
400,0,17000,9000,20,24.36,8.35056591
400,0,17000,9000,25,28.49,7.93994379
400,0,17000,9000,30,25.35,7.466397762
400,0,17000,9000,35,29.5,7.11496067
400,0,17000,9000,40,31.78,7.029716015
400,0,17000,9000,45,42.3,6.513680935
400,0,17000,9000,50,47.09,6.271016598
400,0,17000,9000,55,46.06,5.734460354
400,0,17000,9000,60,51.96,4.767211437
400,0,17000,9000,65,51.05,4.520206928
400,0,17000,9000,70,62.55,3.90629077
400,0,17000,9000,75,65.65,3.3650105
400,0,17000,9000,80,70.51,2.893233299
400,0,17000,13000,15,20.71,9.159270287
400,0,17000,13000,20,25.16,8.425623894
400,0,17000,13000,25,20.35,7.944245815
400,0,17000,13000,30,31.22,7.594762325
400,0,17000,13000,35,30.92,7.190788269
400,0,17000,13000,40,40.66,7.054160118
400,0,17000,13000,45,43.12,6.582996845
400,0,17000,13000,50,47.49,6.217717171
400,0,17000,13000,55,50.71,5.647595406
400,0,17000,13000,60,49.02,4.638724327
400,0,17000,13000,65,57.97,4.304913998
400,0,17000,13000,70,54.93,3.816228867
400,0,17000,13000,75,66.32,3.310149431
400,0,17000,13000,80,69.94,2.768953562
400,0,17000,17000,15,15.42,9.086648941
400,0,17000,17000,20,25.12,8.443631172
400,0,17000,17000,25,25.3,7.954464436
400,0,17000,17000,30,27.5,7.607299805
400,0,17000,17000,35,36.15,7.189902306
400,0,17000,17000,40,34.23,7.0405159
400,0,17000,17000,45,35.94,6.569279671
400,0,17000,17000,50,41.38,6.222421646
400,0,17000,17000,55,46.48,5.652859211
400,0,17000,17000,60,55.59,4.641158581
400,0,17000,17000,65,60.37,4.296628952
400,0,17000,17000,70,57.24,3.795818806
400,0,17000,17000,75,64.61,3.32002449
400,0,17000,17000,80,65.95,2.770679474
400,1000,1000,1000,15,17.76,6.165514946
400,1000,1000,1000,20,17.06,5.334528923
400,1000,1000,1000,25,24.84,4.769090652
400,1000,1000,1000,30,20.35,4.364645958
400,1000,1000,1000,35,32.65,3.473822355
400,1000,1000,1000,40,28.49,3.049767733
400,1000,1000,1000,45,40.08,2.552234411
400,1000,1000,1000,50,36.85,2.044772863
400,1000,1000,1000,55,39.03,1.814905167
400,1000,1000,1000,60,46.05,1.531872392
400,1000,1000,1000,65,52.74,1.458285332
400,1000,1000,1000,70,52.34,1.097868204
400,1000,1000,1000,75,59.01,1.128615856
400,1000,1000,1000,80,61.81,0.69925791
400,1000,1000,5000,15,12.4,9.157305717
400,1000,1000,5000,20,18.07,8.357732773
400,1000,1000,5000,25,18.6,7.996943474
400,1000,1000,5000,30,26.89,7.555630684
400,1000,1000,5000,35,23.57,7.146191597
400,1000,1000,5000,40,36.56,7.065927505
400,1000,1000,5000,45,36.43,6.568779945
400,1000,1000,5000,50,41.99,6.348965168
400,1000,1000,5000,55,45.97,5.760018349
400,1000,1000,5000,60,49.01,4.702540874
400,1000,1000,5000,65,49.69,4.490099907
400,1000,1000,5000,70,50.5,3.828605413
400,1000,1000,5000,75,60.19,3.116621494
400,1000,1000,5000,80,60.6,2.708905935
400,1000,1000,9000,15,12.29,9.070609093
400,1000,1000,9000,20,21.38,8.378339767
400,1000,1000,9000,25,23.85,8.072806358
400,1000,1000,9000,30,23.4,7.605695724
400,1000,1000,9000,35,27.24,7.260317802
400,1000,1000,9000,40,31.98,7.145184517
400,1000,1000,9000,45,35.67,6.62245369
400,1000,1000,9000,50,38.36,6.263023376
400,1000,1000,9000,55,40.42,5.670397282
400,1000,1000,9000,60,47.1,4.663020611
400,1000,1000,9000,65,56.05,4.484857559
400,1000,1000,9000,70,57.17,3.839506626
400,1000,1000,9000,75,63.18,3.17587018
400,1000,1000,9000,80,64.06,2.576379538
400,1000,1000,13000,15,12.76,9.130764961
400,1000,1000,13000,20,18.98,8.461409569
400,1000,1000,13000,25,17.25,8.077661514
400,1000,1000,13000,30,23.87,7.64102602
400,1000,1000,13000,35,29.05,7.335291386
400,1000,1000,13000,40,34.3,7.203204155
400,1000,1000,13000,45,38.8,6.693575859
400,1000,1000,13000,50,40.65,6.304965019
400,1000,1000,13000,55,44.17,5.591445446
400,1000,1000,13000,60,45.64,4.614815235
400,1000,1000,13000,65,51.98,4.355408669
400,1000,1000,13000,70,60.01,3.873242378
400,1000,1000,13000,75,62.71,3.244352818
400,1000,1000,13000,80,60.2,2.420804977
400,1000,1000,17000,15,11.2,9.103530884
400,1000,1000,17000,20,19.25,8.475402832
400,1000,1000,17000,25,24.18,8.082089424
400,1000,1000,17000,30,24.95,7.659146786
400,1000,1000,17000,35,33.53,7.348566055
400,1000,1000,17000,40,36.61,7.193708897
400,1000,1000,17000,45,39.58,6.669879913
400,1000,1000,17000,50,38.85,6.303258896
400,1000,1000,17000,55,42.34,5.597219467
400,1000,1000,17000,60,44.34,4.613399029
400,1000,1000,17000,65,50.3,4.354871273
400,1000,1000,17000,70,56.35,3.855026245
400,1000,1000,17000,75,63.85,3.257690668
400,1000,1000,17000,80,59.83,2.414457798
400,1000,5000,1000,15,12.89,6.249729156
400,1000,5000,1000,20,18.8,5.25905323
400,1000,5000,1000,25,18.19,4.699692726
400,1000,5000,1000,30,26.96,4.313084602
400,1000,5000,1000,35,28.69,3.564755678
400,1000,5000,1000,40,29.94,3.104241848
400,1000,5000,1000,45,37.81,2.495783806
400,1000,5000,1000,50,35.06,1.910313725
400,1000,5000,1000,55,46.26,1.621438503
400,1000,5000,1000,60,50.2,1.425956726
400,1000,5000,1000,65,47.32,1.303491116
400,1000,5000,1000,70,54.25,0.901925325
400,1000,5000,1000,75,55.51,0.983725965
400,1000,5000,1000,80,67.08,0.612480938
400,1000,5000,5000,15,14.53,9.043478966
400,1000,5000,5000,20,13.6,8.259893417
400,1000,5000,5000,25,19.34,7.885014057
400,1000,5000,5000,30,29.08,7.407151699
400,1000,5000,5000,35,28.91,7.109893322
400,1000,5000,5000,40,36.11,6.934021473
400,1000,5000,5000,45,38.53,6.348962307
400,1000,5000,5000,50,45.48,6.169929981
400,1000,5000,5000,55,45.3,5.586038113
400,1000,5000,5000,60,52.6,4.503465176
400,1000,5000,5000,65,55.76,4.226210117
400,1000,5000,5000,70,56.73,3.591752529
400,1000,5000,5000,75,61.54,2.898652077
400,1000,5000,5000,80,63.15,2.567429543
400,1000,5000,9000,15,18.26,9.134795189
400,1000,5000,9000,20,19.18,8.328719139
400,1000,5000,9000,25,26.42,7.995502472
400,1000,5000,9000,30,28.64,7.550911903
400,1000,5000,9000,35,29.7,7.244720459
400,1000,5000,9000,40,31.29,7.096979141
400,1000,5000,9000,45,34.92,6.519515038
400,1000,5000,9000,50,42.58,6.220509529
400,1000,5000,9000,55,47.61,5.637676716
400,1000,5000,9000,60,48.91,4.657017231
400,1000,5000,9000,65,53.72,4.463457584
400,1000,5000,9000,70,53.95,3.844425678
400,1000,5000,9000,75,55.72,3.194850922
400,1000,5000,9000,80,61.56,2.644197941
400,1000,5000,13000,15,13.27,9.231051445
400,1000,5000,13000,20,17.5,8.506581306
400,1000,5000,13000,25,23.45,8.054411888
400,1000,5000,13000,30,23.18,7.621585369
400,1000,5000,13000,35,27.86,7.328483105
400,1000,5000,13000,40,36.24,7.178112984
400,1000,5000,13000,45,40.11,6.626743793
400,1000,5000,13000,50,37.44,6.320232868
400,1000,5000,13000,55,44.63,5.626992226
400,1000,5000,13000,60,49.73,4.657598972
400,1000,5000,13000,65,52.21,4.369954586
400,1000,5000,13000,70,53.87,3.876881123
400,1000,5000,13000,75,59.75,3.249939919
400,1000,5000,13000,80,68.35,2.497836351
400,1000,5000,17000,15,16.99,9.200714111
400,1000,5000,17000,20,21.86,8.524116516
400,1000,5000,17000,25,27.22,8.057492256
400,1000,5000,17000,30,30.06,7.63607645
400,1000,5000,17000,35,29.95,7.339274406
400,1000,5000,17000,40,29.96,7.167041302
400,1000,5000,17000,45,37.17,6.602687836
400,1000,5000,17000,50,44.93,6.315991402
400,1000,5000,17000,55,49.68,5.629925728
400,1000,5000,17000,60,54.43,4.656875134
400,1000,5000,17000,65,52.84,4.370594025
400,1000,5000,17000,70,59.88,3.856524706
400,1000,5000,17000,75,61.61,3.261060238
400,1000,5000,17000,80,65.93,2.487717152
400,1000,9000,1000,15,11.76,6.201477051
400,1000,9000,1000,20,15.49,5.257658005
400,1000,9000,1000,25,21.41,4.675254822
400,1000,9000,1000,30,21.09,4.307751656
400,1000,9000,1000,35,27.91,3.564146519
400,1000,9000,1000,40,35.09,3.087402821
400,1000,9000,1000,45,36.09,2.479424
400,1000,9000,1000,50,37.45,1.903865457
400,1000,9000,1000,55,44.22,1.609131575
400,1000,9000,1000,60,44.58,1.419897676
400,1000,9000,1000,65,53.27,1.352544546
400,1000,9000,1000,70,51.07,0.976395965
400,1000,9000,1000,75,58.49,1.09220314
400,1000,9000,1000,80,63.94,0.707293153
400,1000,9000,5000,15,10.42,8.969098091
400,1000,9000,5000,20,20.33,8.242645264
400,1000,9000,5000,25,19.01,7.847093105
400,1000,9000,5000,30,26.02,7.393676281
400,1000,9000,5000,35,25.65,7.114602566
400,1000,9000,5000,40,32.69,6.914152622
400,1000,9000,5000,45,34.77,6.338537693
400,1000,9000,5000,50,39.67,6.151775837
400,1000,9000,5000,55,47.76,5.579267025
400,1000,9000,5000,60,47.69,4.50840044
400,1000,9000,5000,65,55.17,4.274065495
400,1000,9000,5000,70,59.72,3.661268711
400,1000,9000,5000,75,57.67,2.999823809
400,1000,9000,5000,80,59.72,2.648218632
400,1000,9000,9000,15,10.94,9.068892479
400,1000,9000,9000,20,19.89,8.253248215
400,1000,9000,9000,25,28.25,7.878760815
400,1000,9000,9000,30,25.5,7.432294369
400,1000,9000,9000,35,32.25,7.149267673
400,1000,9000,9000,40,37.31,7.024604321
400,1000,9000,9000,45,39.77,6.481072903
400,1000,9000,9000,50,44.54,6.19892931
400,1000,9000,9000,55,50.25,5.648288727
400,1000,9000,9000,60,46.49,4.667078495
400,1000,9000,9000,65,48.45,4.484130383
400,1000,9000,9000,70,53.52,3.900417805
400,1000,9000,9000,75,57.01,3.293252468
400,1000,9000,9000,80,66.19,2.729995012
400,1000,9000,13000,15,16.99,9.064211845
400,1000,9000,13000,20,17.28,8.333521843
400,1000,9000,13000,25,25.84,7.892300129
400,1000,9000,13000,30,30.27,7.463264942
400,1000,9000,13000,35,28.03,7.164698124
400,1000,9000,13000,40,36.17,6.984146118
400,1000,9000,13000,45,41.33,6.490106106
400,1000,9000,13000,50,38.75,6.172657013
400,1000,9000,13000,55,49.54,5.535912991
400,1000,9000,13000,60,54.75,4.543471813
400,1000,9000,13000,65,49.93,4.286323071
400,1000,9000,13000,70,52.86,3.830856562
400,1000,9000,13000,75,59.47,3.296431541
400,1000,9000,13000,80,66.87,2.650232077
400,1000,9000,17000,15,21.53,9.038471222
400,1000,9000,17000,20,19.67,8.349283218
400,1000,9000,17000,25,26.6,7.893608093
400,1000,9000,17000,30,23.96,7.476695538
400,1000,9000,17000,35,33.86,7.171961784
400,1000,9000,17000,40,36.97,6.976342678
400,1000,9000,17000,45,35.47,6.469924927
400,1000,9000,17000,50,45.92,6.172253132
400,1000,9000,17000,55,50.45,5.538200855
400,1000,9000,17000,60,51.7,4.543687344
400,1000,9000,17000,65,50.66,4.288146019
400,1000,9000,17000,70,63.04,3.811598539
400,1000,9000,17000,75,64.78,3.308325768
400,1000,9000,17000,80,64.17,2.636392117
400,1000,13000,1000,15,14.63,6.286594868
400,1000,13000,1000,20,17.81,5.33589983
400,1000,13000,1000,25,22.91,4.736294746
400,1000,13000,1000,30,25.01,4.333091736
400,1000,13000,1000,35,33.85,3.527256727
400,1000,13000,1000,40,37.32,3.07020402
400,1000,13000,1000,45,33.91,2.483091593
400,1000,13000,1000,50,46.21,1.95580411
400,1000,13000,1000,55,46.71,1.654083371
400,1000,13000,1000,60,52.39,1.49623847
400,1000,13000,1000,65,54.92,1.377594233
400,1000,13000,1000,70,55.95,0.99617964
400,1000,13000,1000,75,62.69,1.139625549
400,1000,13000,1000,80,68.75,0.815512419
400,1000,13000,5000,15,13.65,9.014801025
400,1000,13000,5000,20,22.78,8.310077667
400,1000,13000,5000,25,23.83,7.90572834
400,1000,13000,5000,30,27.03,7.433119297
400,1000,13000,5000,35,30.31,7.083508015
400,1000,13000,5000,40,37.01,6.91591835
400,1000,13000,5000,45,36.13,6.347634792
400,1000,13000,5000,50,45.72,6.196154594
400,1000,13000,5000,55,49.26,5.635555267
400,1000,13000,5000,60,45.57,4.594172001
400,1000,13000,5000,65,57.27,4.295037746
400,1000,13000,5000,70,54.64,3.67129755
400,1000,13000,5000,75,60.6,3.056224823
400,1000,13000,5000,80,65.8,2.765946627
400,1000,13000,9000,15,15.34,9.113739014
400,1000,13000,9000,20,15.59,8.334887505
400,1000,13000,9000,25,27.56,7.943061829
400,1000,13000,9000,30,24.62,7.476326466
400,1000,13000,9000,35,28.67,7.125563145
400,1000,13000,9000,40,38.28,7.035651207
400,1000,13000,9000,45,37.45,6.494096279
400,1000,13000,9000,50,46.6,6.25188446
400,1000,13000,9000,55,48.56,5.715794086
400,1000,13000,9000,60,48.06,4.7670331
400,1000,13000,9000,65,49.15,4.51717329
400,1000,13000,9000,70,62.28,3.920070171
400,1000,13000,9000,75,57.41,3.358009338
400,1000,13000,9000,80,67.5,2.862088919
400,1000,13000,13000,15,17.04,9.130761147
400,1000,13000,13000,20,23.48,8.402059555
400,1000,13000,13000,25,26.56,7.950788021
400,1000,13000,13000,30,29.86,7.576087475
400,1000,13000,13000,35,32.06,7.195963383
400,1000,13000,13000,40,38.83,7.042253971
400,1000,13000,13000,45,35.58,6.575400829
400,1000,13000,13000,50,40.62,6.213895798
400,1000,13000,13000,55,49.07,5.614055157
400,1000,13000,13000,60,48.96,4.613740921
400,1000,13000,13000,65,55.47,4.294424534
400,1000,13000,13000,70,58.13,3.812250614
400,1000,13000,13000,75,62.46,3.289336443
400,1000,13000,13000,80,65.16,2.753429651
400,1000,13000,17000,15,20.21,9.067949295
400,1000,13000,17000,20,19.81,8.423283577
400,1000,13000,17000,25,27.28,7.966869354
400,1000,13000,17000,30,26.71,7.59809351
